datetime,yr,mnth,hr,holiday,weekday,workingday,season,temp,feelslike,humidity,precip,snowdepth,windspeed,cloudcover,uvindex,icon,sunlight_hours,mtillsunrise,mtillsunset,cnt
2011-01-02 22:00:00,0,1,22,0,0,0,1,3.1,-1.5,44.4,0.0,0.0,20.9,0.0,0.0,clear-night,9.508055555555556,565,0,9.0
2011-01-02 23:00:00,0,1,23,0,0,0,1,2.0,-1.4,46.79,0.0,0.0,12.0,0.0,0.0,clear-night,9.508055555555556,505,0,8.0
2011-01-03 00:00:00,0,1,0,0,1,1,1,1.7,-3.6,44.22,0.0,0.0,23.9,0.0,0.0,clear-night,9.520555555555555,447,0,5.0
2011-01-03 01:00:00,0,1,1,0,1,1,1,1.0,-4.9,44.0,0.0,0.0,27.2,0.0,0.0,clear-night,9.520555555555555,387,0,2.0
2011-01-03 02:00:00,0,1,2,0,1,0,1,0.7,-4.9,44.78,0.0,0.0,24.0,0.0,0.0,clear-night,9.520555555555555,327,0,61.31818181818182
2011-01-03 03:00:00,0,1,3,0,1,0,1,-0.1,-5.8,44.26,0.0,0.0,23.1,0.0,0.0,clear-night,9.520555555555555,267,0,61.31818181818182
2011-01-03 04:00:00,0,1,4,0,1,1,1,-0.9,-7.1,46.18,0.0,0.0,25.5,0.0,0.0,clear-night,9.520555555555555,207,0,1.0
2011-01-03 05:00:00,0,1,5,0,1,1,1,-1.2,-6.5,47.6,0.0,0.0,18.9,0.0,0.0,clear-night,9.520555555555555,147,0,3.0
2011-01-03 06:00:00,0,1,6,0,1,1,1,-1.9,-8.4,50.3,0.0,0.0,25.2,0.0,0.0,clear-night,9.520555555555555,87,0,30.0
2011-01-03 07:00:00,0,1,7,0,1,1,1,-1.9,-6.5,49.51,0.0,0.0,13.6,0.0,0.0,clear-night,9.520555555555555,27,0,64.0
2011-01-03 08:00:00,0,1,8,0,1,1,1,-2.0,-7.4,49.44,0.0,0.0,18.3,0.0,2.0,clear-day,9.520555555555555,0,538,154.0
2011-01-03 09:00:00,0,1,9,0,1,1,1,-1.2,-7.5,44.15,0.0,0.0,25.6,0.0,3.0,clear-day,9.520555555555555,0,478,88.0
2011-01-03 10:00:00,0,1,10,0,1,1,1,-0.1,-4.8,43.16,0.0,0.0,16.8,0.0,4.0,clear-day,9.520555555555555,0,418,44.0
2011-01-03 11:00:00,0,1,11,0,1,1,1,1.0,-4.3,40.1,0.0,0.0,22.3,0.0,5.0,clear-day,9.520555555555555,0,358,51.0
2011-01-03 12:00:00,0,1,12,0,1,1,1,1.9,-2.8,35.48,0.0,0.0,20.4,24.4,5.0,partly-cloudy-day,9.520555555555555,0,298,61.0
2011-01-03 13:00:00,0,1,13,0,1,1,1,3.0,-1.3,34.83,0.0,0.0,18.5,24.4,5.0,partly-cloudy-day,9.520555555555555,0,238,61.0
2011-01-03 14:00:00,0,1,14,0,1,1,1,3.8,-0.2,31.17,0.0,0.0,17.6,0.0,4.0,clear-day,9.520555555555555,0,178,77.0
2011-01-03 15:00:00,0,1,15,0,1,1,1,4.0,0.4,30.54,0.0,0.0,16.5,24.4,2.0,partly-cloudy-day,9.520555555555555,0,118,72.0
2011-01-03 16:00:00,0,1,16,0,1,1,1,4.0,0.3,30.05,0.0,0.0,16.4,24.4,0.0,partly-cloudy-day,9.520555555555555,0,58,76.0
2011-01-03 17:00:00,0,1,17,0,1,1,1,3.0,-0.5,30.2,0.0,0.0,13.8,24.4,0.0,partly-cloudy-night,9.520555555555555,866,0,157.0
2011-01-03 18:00:00,0,1,18,0,1,1,1,2.5,0.5,34.01,0.0,0.0,7.1,24.4,0.0,partly-cloudy-night,9.520555555555555,806,0,157.0
2011-01-03 19:00:00,0,1,19,0,1,1,1,0.7,0.7,48.61,0.0,0.0,0.5,0.0,0.0,clear-night,9.520555555555555,746,0,110.0
2011-01-03 20:00:00,0,1,20,0,1,1,1,0.4,-2.0,49.58,0.0,0.0,7.3,24.4,0.0,partly-cloudy-night,9.520555555555555,686,0,52.0
2011-01-03 21:00:00,0,1,21,0,1,1,1,-0.4,-3.4,64.16,0.0,0.0,8.9,24.4,0.0,partly-cloudy-night,9.520555555555555,626,0,52.0
2011-01-03 22:00:00,0,1,22,0,1,1,1,-2.1,-5.5,68.21,0.0,0.0,8.9,24.4,0.0,partly-cloudy-night,9.520555555555555,566,0,20.0
2011-01-03 23:00:00,0,1,23,0,1,1,1,-0.5,-3.1,55.8,0.0,0.0,7.3,24.4,0.0,partly-cloudy-night,9.520555555555555,506,0,12.0
2011-01-04 00:00:00,0,1,0,0,2,1,1,-1.5,-4.3,57.04,0.0,0.0,7.5,44.6,0.0,partly-cloudy-night,9.534166666666666,447,0,5.0
2011-01-04 01:00:00,0,1,1,0,2,1,1,-1.5,-4.3,60.22,0.0,0.0,7.5,79.3,0.0,partly-cloudy-night,9.534166666666666,387,0,2.0
2011-01-04 02:00:00,0,1,2,0,2,1,1,-2.3,-5.8,64.85,0.0,0.0,9.3,79.3,0.0,partly-cloudy-night,9.534166666666666,327,0,1.0
2011-01-04 03:00:00,0,1,3,0,2,0,1,-2.1,-5.0,64.16,0.0,0.0,7.3,79.3,0.0,partly-cloudy-night,9.534166666666666,267,0,67.91304347826087
2011-01-04 04:00:00,0,1,4,0,2,1,1,-2.3,-4.3,64.9,0.0,0.0,5.2,79.3,0.0,partly-cloudy-night,9.534166666666666,207,0,2.0
2011-01-04 05:00:00,0,1,5,0,2,1,1,-3.4,-6.4,70.19,0.0,0.0,7.4,82.9,0.0,partly-cloudy-night,9.534166666666666,147,0,4.0
2011-01-04 06:00:00,0,1,6,0,2,1,1,-3.2,-6.3,75.05,0.0,0.0,7.4,79.3,0.0,partly-cloudy-night,9.534166666666666,87,0,36.0
2011-01-04 07:00:00,0,1,7,0,2,1,1,-3.1,-6.7,74.96,0.0,0.0,9.0,79.3,0.0,partly-cloudy-night,9.534166666666666,27,0,94.0
2011-01-04 08:00:00,0,1,8,0,2,1,1,-2.1,-6.1,69.82,0.0,0.0,10.8,82.5,1.0,partly-cloudy-day,9.534166666666666,0,539,179.0
2011-01-04 09:00:00,0,1,9,0,2,1,1,-1.3,-5.8,66.36,0.0,0.0,14.0,83.9,3.0,partly-cloudy-day,9.534166666666666,0,479,100.0
2011-01-04 10:00:00,0,1,10,0,2,1,1,-0.9,-6.6,68.17,0.0,0.0,21.7,96.4,4.0,cloudy,9.534166666666666,0,419,42.0
2011-01-04 11:00:00,0,1,11,0,2,1,1,1.7,-3.1,53.56,0.0,0.0,19.9,89.7,4.0,partly-cloudy-day,9.534166666666666,0,359,57.0
2011-01-04 12:00:00,0,1,12,0,2,1,1,2.1,-1.0,51.76,0.0,0.0,10.9,49.2,5.0,partly-cloudy-day,9.534166666666666,0,299,78.0
2011-01-04 13:00:00,0,1,13,0,2,1,1,3.2,0.0,54.19,0.0,0.0,12.7,44.6,4.0,partly-cloudy-day,9.534166666666666,0,239,97.0
2011-01-04 14:00:00,0,1,14,0,2,1,1,4.3,1.0,50.13,0.0,0.0,14.5,44.6,3.0,partly-cloudy-day,9.534166666666666,0,179,63.0
2011-01-04 15:00:00,0,1,15,0,2,1,1,5.1,1.7,49.81,0.0,0.0,16.4,24.4,2.0,partly-cloudy-day,9.534166666666666,0,119,65.0
2011-01-04 16:00:00,0,1,16,0,2,1,1,5.8,2.6,48.35,0.0,0.0,16.3,24.4,0.0,partly-cloudy-day,9.534166666666666,0,59,83.0
2011-01-04 17:00:00,0,1,17,0,2,1,1,4.9,1.8,48.09,0.0,0.0,14.3,24.4,0.0,partly-cloudy-night,9.534166666666666,866,0,212.0
2011-01-04 18:00:00,0,1,18,0,2,1,1,3.8,0.6,48.41,0.0,0.0,12.8,24.4,0.0,partly-cloudy-night,9.534166666666666,806,0,182.0
2011-01-04 19:00:00,0,1,19,0,2,1,1,3.0,0.8,48.45,0.0,0.0,7.9,0.0,0.0,clear-night,9.534166666666666,746,0,112.0
2011-01-04 20:00:00,0,1,20,0,2,1,1,2.9,0.7,48.96,0.0,0.0,7.7,0.0,0.0,clear-night,9.534166666666666,686,0,54.0
2011-01-04 21:00:00,0,1,21,0,2,1,1,1.6,1.6,64.16,0.0,0.0,0.7,0.0,0.0,clear-night,9.534166666666666,626,0,48.0
2011-01-04 22:00:00,0,1,22,0,2,1,1,1.4,1.4,66.05,0.0,0.0,4.8,24.4,0.0,partly-cloudy-night,9.534166666666666,566,0,35.0
2011-01-04 23:00:00,0,1,23,0,2,1,1,0.6,-1.0,70.26,0.0,0.0,5.2,24.4,0.0,partly-cloudy-night,9.534166666666666,506,0,11.0
2011-01-05 00:00:00,0,1,0,0,3,1,1,0.5,0.5,65.57,0.0,0.0,0.5,24.4,0.0,partly-cloudy-night,9.54861111111111,447,0,6.0
2011-01-05 01:00:00,0,1,1,0,3,1,1,-0.9,-2.7,72.69,0.0,0.0,5.4,44.6,0.0,partly-cloudy-night,9.54861111111111,387,0,6.0
2011-01-05 02:00:00,0,1,2,0,3,1,1,3.3,-0.1,47.29,0.0,0.0,14.1,24.4,0.0,partly-cloudy-night,9.54861111111111,327,0,2.0
2011-01-05 03:00:00,0,1,3,0,3,0,1,3.7,-1.1,45.36,0.0,0.0,24.7,24.4,0.0,partly-cloudy-night,9.54861111111111,267,0,69.56521739130434
2011-01-05 04:00:00,0,1,4,0,3,1,1,2.7,-1.0,48.45,0.0,0.0,15.1,24.4,0.0,partly-cloudy-night,9.54861111111111,207,0,2.0
2011-01-05 05:00:00,0,1,5,0,3,1,1,1.9,-1.2,48.22,0.0,0.0,11.0,24.4,0.0,partly-cloudy-night,9.54861111111111,147,0,3.0
2011-01-05 06:00:00,0,1,6,0,3,1,1,0.8,-3.3,48.26,0.0,0.0,14.1,0.0,0.0,clear-night,9.54861111111111,87,0,33.0
2011-01-05 07:00:00,0,1,7,0,3,1,1,-0.1,-4.1,44.58,0.0,0.0,12.8,24.4,0.0,partly-cloudy-night,9.54861111111111,27,0,88.0
2011-01-05 08:00:00,0,1,8,0,3,1,1,0.6,-4.4,42.1,0.0,0.0,19.8,44.6,1.0,partly-cloudy-day,9.54861111111111,0,540,195.0
2011-01-05 09:00:00,0,1,9,0,3,1,1,1.6,-3.4,39.38,0.0,0.0,21.7,80.3,2.0,partly-cloudy-day,9.54861111111111,0,480,115.0
2011-01-05 10:00:00,0,1,10,0,3,1,1,2.0,-2.9,38.29,0.0,0.0,21.3,80.3,3.0,partly-cloudy-day,9.54861111111111,0,420,57.0
2011-01-05 11:00:00,0,1,11,0,3,1,1,3.8,-0.7,33.06,0.0,0.0,21.9,44.6,4.0,partly-cloudy-day,9.54861111111111,0,360,46.0
2011-01-05 12:00:00,0,1,12,0,3,1,1,4.1,-0.3,33.12,0.0,0.0,21.6,83.9,5.0,partly-cloudy-day,9.54861111111111,0,300,79.0
2011-01-05 13:00:00,0,1,13,0,3,1,1,4.9,1.0,31.24,0.0,0.0,19.8,79.3,5.0,partly-cloudy-day,9.54861111111111,0,240,71.0
2011-01-05 14:00:00,0,1,14,0,3,1,1,5.7,2.9,29.58,0.0,0.0,13.0,44.6,3.0,partly-cloudy-day,9.54861111111111,0,180,62.0
2011-01-05 15:00:00,0,1,15,0,3,1,1,5.9,3.2,29.11,0.0,0.0,13.2,44.6,2.0,partly-cloudy-day,9.54861111111111,0,120,62.0
2011-01-05 16:00:00,0,1,16,0,3,1,1,5.6,4.7,29.66,0.0,0.0,5.4,44.6,0.0,partly-cloudy-day,9.54861111111111,0,60,89.0
2011-01-05 17:00:00,0,1,17,0,3,1,1,2.8,-0.5,38.69,0.0,0.0,12.3,44.6,0.0,partly-cloudy-day,9.54861111111111,0,0,190.0
2011-01-05 18:00:00,0,1,18,0,3,1,1,2.4,0.0,39.59,0.0,0.0,8.3,30.0,0.0,partly-cloudy-night,9.54861111111111,806,0,169.0
2011-01-05 19:00:00,0,1,19,0,3,1,1,2.5,0.6,39.73,0.0,0.0,6.7,82.3,0.0,partly-cloudy-night,9.54861111111111,746,0,132.0
2011-01-05 20:00:00,0,1,20,0,3,1,1,1.6,-1.6,47.93,0.0,0.0,10.6,90.1,0.0,cloudy,9.54861111111111,686,0,89.0
2011-01-05 21:00:00,0,1,21,0,3,1,1,0.9,-2.7,49.96,0.0,0.0,12.1,90.1,0.0,cloudy,9.54861111111111,626,0,43.0
2011-01-05 22:00:00,0,1,22,0,3,1,1,-0.1,-2.9,54.69,0.0,0.0,8.3,53.6,0.0,partly-cloudy-night,9.54861111111111,566,0,42.0
2011-01-05 23:00:00,0,1,23,0,3,1,1,0.5,0.5,49.11,0.0,0.0,0.0,28.0,0.0,partly-cloudy-night,9.54861111111111,506,0,19.0
2011-01-06 00:00:00,0,1,0,0,4,1,1,-0.4,-0.4,56.1,0.0,0.0,0.0,24.4,0.0,partly-cloudy-night,9.564166666666669,447,0,11.0
2011-01-06 01:00:00,0,1,1,0,4,1,1,-1.5,-1.5,64.84,0.0,0.0,0.4,0.0,0.0,clear-night,9.564166666666669,387,0,4.0
2011-01-06 02:00:00,0,1,2,0,4,1,1,-2.2,-2.2,67.95,0.0,0.0,4.8,89.3,0.0,partly-cloudy-night,9.564166666666669,327,0,2.0
2011-01-06 03:00:00,0,1,3,0,4,0,1,-1.5,-1.5,65.31,0.0,0.0,0.4,90.1,0.0,cloudy,9.564166666666669,267,0,69.82608695652173
2011-01-06 04:00:00,0,1,4,0,4,1,1,-2.2,-5.1,69.75,0.0,0.0,7.4,84.9,0.0,partly-cloudy-night,9.564166666666669,207,0,1.0
2011-01-06 05:00:00,0,1,5,0,4,1,1,-2.3,-4.3,68.96,0.0,0.0,5.4,98.2,0.0,cloudy,9.564166666666669,147,0,4.0
2011-01-06 06:00:00,0,1,6,0,4,1,1,-2.3,-5.2,65.44,0.0,0.0,7.3,99.2,0.0,cloudy,9.564166666666669,87,0,36.0
2011-01-06 07:00:00,0,1,7,0,4,1,1,-1.4,-1.4,61.02,0.0,0.0,0.4,92.3,0.0,cloudy,9.564166666666669,27,0,95.0
2011-01-06 08:00:00,0,1,8,0,4,1,1,-1.3,-1.3,59.75,0.0,0.0,0.0,79.3,1.0,partly-cloudy-day,9.564166666666669,0,540,219.0
2011-01-06 09:00:00,0,1,9,0,4,1,1,-0.2,-0.2,52.61,0.0,0.0,0.0,89.1,3.0,partly-cloudy-day,9.564166666666669,0,480,122.0
2011-01-06 10:00:00,0,1,10,0,4,1,1,1.0,1.0,46.75,0.0,0.0,0.4,79.3,4.0,partly-cloudy-day,9.564166666666669,0,420,45.0
2011-01-06 11:00:00,0,1,11,0,4,1,1,1.9,1.9,43.65,0.0,0.0,4.8,44.6,5.0,partly-cloudy-day,9.564166666666669,0,360,59.0
2011-01-06 12:00:00,0,1,12,0,4,1,1,3.8,2.3,36.09,0.0,0.0,6.0,44.6,5.0,partly-cloudy-day,9.564166666666669,0,300,84.0
2011-01-06 13:00:00,0,1,13,0,4,1,1,3.8,1.9,35.82,0.0,0.0,7.8,44.6,4.0,partly-cloudy-day,9.564166666666669,0,240,67.0
2011-01-06 14:00:00,0,1,14,0,4,1,1,4.8,2.2,35.47,0.0,0.0,11.2,0.0,3.0,clear-day,9.564166666666669,0,180,70.0
2011-01-06 15:00:00,0,1,15,0,4,1,1,4.9,2.4,35.34,0.0,0.0,10.6,24.4,2.0,partly-cloudy-day,9.564166666666669,0,120,62.0
2011-01-06 16:00:00,0,1,16,0,4,1,1,3.8,1.1,38.01,0.0,0.0,11.0,24.4,0.0,partly-cloudy-day,9.564166666666669,0,60,86.0
2011-01-06 17:00:00,0,1,17,0,4,1,1,2.0,-1.1,51.13,0.0,0.0,10.6,24.4,0.0,partly-cloudy-day,9.564166666666669,0,0,172.0
2011-01-06 18:00:00,0,1,18,0,4,1,1,1.5,-1.2,52.26,0.0,0.0,8.7,24.4,0.0,partly-cloudy-night,9.564166666666669,806,0,163.0
2011-01-06 19:00:00,0,1,19,0,4,1,1,1.3,-0.3,56.81,0.0,0.0,5.4,79.3,0.0,partly-cloudy-night,9.564166666666669,746,0,112.0
2011-01-06 20:00:00,0,1,20,0,4,1,1,0.6,-2.7,52.55,0.0,0.0,10.6,89.3,0.0,partly-cloudy-night,9.564166666666669,686,0,69.0
2011-01-06 21:00:00,0,1,21,0,4,1,1,1.4,-2.5,56.79,0.0,0.0,14.0,99.2,0.0,cloudy,9.564166666666669,626,0,48.0
2011-01-06 22:00:00,0,1,22,0,4,1,1,1.6,-2.9,53.56,0.0,0.0,17.8,100.0,0.0,cloudy,9.564166666666669,566,0,52.0
2011-01-06 23:00:00,0,1,23,0,4,1,1,0.9,-2.8,59.16,0.0,0.0,12.2,96.4,0.0,cloudy,9.564166666666669,506,0,23.0
2011-01-07 00:00:00,0,1,0,0,5,1,1,0.9,-3.1,60.26,0.0,0.0,14.2,96.4,0.0,cloudy,9.580555555555556,447,0,17.0
2011-01-07 01:00:00,0,1,1,0,5,1,1,0.9,-3.2,67.95,0.0,0.0,14.0,96.0,0.0,cloudy,9.580555555555556,387,0,7.0
2011-01-07 02:00:00,0,1,2,0,5,1,1,0.8,-2.8,64.52,0.0,0.0,12.1,99.2,0.0,cloudy,9.580555555555556,327,0,1.0
2011-01-07 03:00:00,0,1,3,0,5,0,1,0.9,-3.1,64.58,0.0,0.0,14.1,99.2,0.0,cloudy,9.580555555555556,267,0,65.65217391304348
2011-01-07 04:00:00,0,1,4,0,5,1,1,0.6,-2.3,69.53,0.0,0.0,9.0,100.0,0.0,cloudy,9.580555555555556,207,0,1.0
2011-01-07 05:00:00,0,1,5,0,5,1,1,0.9,-1.5,65.06,0.0,0.0,7.6,99.2,0.0,cloudy,9.580555555555556,147,0,5.0
2011-01-07 06:00:00,0,1,6,0,5,1,1,0.9,0.9,69.89,0.0,0.0,0.7,99.6,0.0,cloudy,9.580555555555556,87,0,34.0
2011-01-07 07:00:00,0,1,7,0,5,1,1,0.8,-2.1,69.06,0.0,0.0,9.0,51.0,0.0,partly-cloudy-night,9.580555555555556,27,0,84.0
2011-01-07 08:00:00,0,1,8,0,5,1,1,0.9,-3.5,52.0,0.0,0.0,16.6,83.9,1.0,partly-cloudy-day,9.580555555555556,0,541,210.0
2011-01-07 09:00:00,0,1,9,0,5,1,1,0.9,-4.2,47.74,0.0,0.0,20.9,81.3,3.0,partly-cloudy-day,9.580555555555556,0,481,134.0
2011-01-07 10:00:00,0,1,10,0,5,1,1,1.7,-3.4,38.97,0.0,0.0,22.6,40.4,4.0,partly-cloudy-day,9.580555555555556,0,421,63.0
2011-01-07 11:00:00,0,1,11,0,5,1,1,1.0,-3.2,40.85,0.0,0.0,15.0,95.6,4.0,cloudy,9.580555555555556,0,361,67.0
2011-01-07 12:00:00,0,1,12,0,5,1,1,1.0,-3.5,37.29,0.0,0.0,16.6,93.8,3.0,cloudy,9.580555555555556,0,301,59.0
2011-01-07 13:00:00,0,1,13,0,5,1,1,1.0,-3.7,37.23,0.0,0.0,18.0,92.9,3.0,cloudy,9.580555555555556,0,241,73.0
2011-01-07 14:00:00,0,1,14,0,5,1,1,1.0,-3.4,40.01,0.0,0.0,16.0,92.8,2.0,cloudy,9.580555555555556,0,181,50.0
2011-01-07 15:00:00,0,1,15,0,5,1,1,0.8,-2.5,38.49,0.0,0.0,10.6,98.8,1.0,cloudy,9.580555555555556,0,121,72.0
2011-01-07 16:00:00,0,1,16,0,5,1,1,0.9,-2.3,37.97,0.0,0.0,10.6,95.6,0.0,cloudy,9.580555555555556,0,61,87.0
2011-01-07 17:00:00,0,1,17,0,5,1,1,0.7,0.7,38.75,0.0,0.0,0.4,89.1,0.0,partly-cloudy-day,9.580555555555556,0,1,187.0
2011-01-07 18:00:00,0,1,18,0,5,1,1,0.5,-1.0,42.36,0.0,0.0,5.0,79.3,0.0,partly-cloudy-night,9.580555555555556,806,0,123.0
2011-01-07 19:00:00,0,1,19,0,5,1,1,-1.1,-3.0,53.61,0.0,0.0,5.4,82.9,0.0,partly-cloudy-night,9.580555555555556,746,0,95.0
2011-01-07 20:00:00,0,1,20,0,5,1,1,-0.3,-2.6,47.95,0.0,0.0,6.7,90.1,0.0,cloudy,9.580555555555556,686,0,51.0
